modelo,experimento,generation,best_fitness,mean_fitness,best_recall_maligno,best_f1_maligno,best_parameters
Arvore de Decisao,E2_balanceado,8,0.9275466715962375,0.9241656693273715,0.9294117647058823,0.9183314827650406,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 6}"
Regressao Logistica,E3_exploratorio,0,0.9752598492599257,0.9443129226625171,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E3_exploratorio,1,0.9752598492599257,0.965877746001652,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E3_exploratorio,2,0.9752598492599257,0.9588437617122205,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E3_exploratorio,3,0.9752598492599257,0.9685611410247559,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E3_exploratorio,4,0.9752598492599257,0.9550270927929464,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E3_exploratorio,5,0.9752598492599257,0.9702050513313969,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E3_exploratorio,6,0.9752598492599257,0.9712487529409553,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E3_exploratorio,7,0.9752598492599257,0.9701046644066906,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E3_exploratorio,8,0.9752598492599257,0.9661215340428921,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
